journal_name,journal_alias,issn,eissn,impact_factor,quartile,source_year,source,quartile_system
The Journal of Clinical Endocrinology & Metabolism,J Clin Endocrinol Metab,0021-972X,1945-7197,5.4,,2025,https://academic.oup.com/jcem/pages/About,
Endocrinology,Endocrinology,0013-7227,1945-7170,3.8,,2025,https://academic.oup.com/Endo/pages/About,
European Journal of Endocrinology,Eur J Endocrinol,,,6.7,,2025,https://academic.oup.com/ejendo/pages/about,
Medicina,Medicina (Kaunas),1010-660X,1648-9144,2.9,,2025,https://www.mdpi.com/journal/medicina/imprint,
Nutrients,Nutrients,,,5.8,,2025,https://www.mdpi.com/journal/nutrients/imprint,
Diabetes Research and Clinical Practice,Diabetes Res Clin Pract,0168-8227,,7.4,,2025,https://www.sciencedirect.com/journal/diabetes-research-and-clinical-practice,
